X,Y,OBJECTID,FECHA_INCIDENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.0481094,4.69151010015411,5224,2025/01/20 00:00:00+00,4.6915101,-74.0481094,Calle 106 con Carrera 17,Usaquén,Atropello,Motociclista lesionado (1) - Animal de compañía (1)
-74.1395153999999,4.66318740015314,5225,2025/01/20 00:00:00+00,4.6631874,-74.1395154,"Av Centenario (Calle 13) con Carrera 116, sentido occ?or",Fontibón,Choque simple,Automóvil particular (2)
-74.0526035,4.71640290015489,5226,2025/01/20 00:00:00+00,4.7164029,-74.0526035,"Autopista Norte con Calle 130, sentido s?n",Usaquén,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0451704,4.68240840015378,5227,2025/01/20 00:00:00+00,4.6824084,-74.0451704,"Carrera 11B con Calle 99, sentido n?s",Chapinero,Atropello,Vehículo escolar (1) - Bicitaxi (1) - Pasajero lesionado (2)
-74.1001764,4.68035670015373,5228,2025/01/20 00:00:00+00,4.6803567,-74.1001764,"Transversal 3 con Av Boyacá, sentido n?s",Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1134979,4.67672790015361,5229,2025/01/20 00:00:00+00,4.6767279,-74.1134979,"Transversal 85 con Calle 52A, sentido n?s",Engativá,Choque simple,
-74.1091241,4.49567030014768,5230,2025/01/20 00:00:00+00,4.4956703,-74.1091241,Carrera 1 con Calle 98 sur,Usme,Fallecido hospitalario,Motociclista fallecido (1) - Señal de tránsito (1)
-74.17083,4.62848660015201,5231,2025/01/20 00:00:00+00,4.6284866,-74.17083,Av Ciudad de Villavicencio con Av Ciudad de Cali,Kennedy,Choque simple,Taxi (1) - Automóvil particular (1)
-74.1566318,4.68277310015377,5232,2025/01/20 00:00:00+00,4.6827731,-74.1566318,Diagonal 16 con Carrera 116,Fontibón,Choque simple,Automóvil particular (2)
-74.1126935999999,4.4959052001477,5233,2025/01/20 00:00:00+00,4.4959052,-74.1126936,Carrera 4 este con Calle 100C sur,Usme,Autolesionado,Motociclista lesionado (1)
-74.0773407,4.61007900015143,5234,2025/01/20 00:00:00+00,4.610079,-74.0773407,"Calle 19A con Carrera 16, sentido occ?or",Los Mártires,Atropello,Automóvil particular (1) - Peatón lesionado (1)
-74.2024820999999,4.60620640015134,5235,2025/01/20 00:00:00+00,4.6062064,-74.2024821,Carrera 78K con Calle 73D bis sur,Bosa,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0481920999999,4.74283000015574,5236,2025/01/20 00:00:00+00,4.74283,-74.0481921,"Autopista Norte con Calle 153, sentido s?n",Usaquén,Autolesionado,Motociclista lesionado (1)
-74.0712925999999,4.64497890015259,5237,2025/01/20 00:00:00+00,4.6449789,-74.0712926,"Calle 57 con Carrera 21, sentido or?occ",Teusaquillo,Choque con lesionado,Automóvil particular (1) - Bicicleta (1)
-74.0691669999999,4.60703020015134,5238,2025/01/20 00:00:00+00,4.6070302,-74.069167,"Carrera 5 con Calle 22, sentido n?s",Santa Fe,Choque simple,Automóvil particular (2)
-74.0560963999999,4.67765650015365,5239,2025/01/20 00:00:00+00,4.6776565,-74.0560964,"Calle 92 con Carrera 19A, sentido occ?or",Chapinero,Choque simple,Automóvil particular (2)
-74.1251122,4.62936420015207,5240,2025/01/20 00:00:00+00,4.6293642,-74.1251122,"Av Américas con Carrera 68D, sentido occ?or",Puente Aranda,Varado,Bus SITP (1)
-74.073793,4.60686560015133,5241,2025/01/20 00:00:00+00,4.6068656,-74.073793,"Av Calle 19 con Av Carrera 10, sentido occ?or",Santa Fe,Choque simple,Automóvil particular (2)
-74.0560963999999,4.67765650015365,5242,2025/01/20 00:00:00+00,4.6776565,-74.0560964,"Calle 92 con Carrera 19A, sentido occ?or",Chapinero,Choque simple,Automóvil particular (2)
-74.0392214,4.76026610015629,5243,2025/01/20 00:00:00+00,4.7602661,-74.0392214,"Calle 183 con Carrera 18, sentido or?occ",Usaquén,Choque simple,Motocicleta (1) - Camioneta (1)
-74.0750798,4.61103030015145,5244,2025/01/20 00:00:00+00,4.6110303,-74.0750798,"NQS con Calle 22, sentido s?n",Puente Aranda,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1)
-74.1001764,4.68035670015373,5245,2025/01/20 00:00:00+00,4.6803567,-74.1001764,"Av Boyacá con Carrera 15, sentido n?s",Ciudad Bolívar,Varado,Tractocamión (1)
-74.0768409,4.59115800015083,5246,2025/01/20 00:00:00+00,4.591158,-74.0768409,"Carrera 5 con Calle 49D sur, sentido s?n",Rafael Uribe Uribe,Autolesionado,Motociclista lesionado (1)
-74.1431396,4.6801369001537,5247,2025/01/20 00:00:00+00,4.6801369,-74.1431396,"Calle 22F con Carrera 104B, sentido or?occ",Fontibón,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1103952,4.63014680015207,5248,2025/01/20 00:00:00+00,4.6301468,-74.1103952,"Av Centenario (Calle 13) con Carrera 56, sentido or?occ",Puente Aranda,Volcamiento,Taxi (2) - Pasajero lesionado (1)
-74.0962254,4.74674170015586,5249,2025/01/20 00:00:00+00,4.7467417,-74.0962254,"Av Ciudad de Cali con Av Suba, sentido n?s",Suba,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1232297999999,4.60009980015113,5250,2025/01/20 00:00:00+00,4.6000998,-74.1232298,Carrera 50 con Calle 31 sur,Puente Aranda,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1)
-74.0765249999999,4.60218900015119,5251,2025/01/20 00:00:00+00,4.602189,-74.076525,"Av Carrera 10 con Av Jiménez (Calle 13), sentido or?occ",Santa Fe,Autolesionado,Motociclista lesionado (1)
-74.0996213,4.58958160015074,5252,2025/01/20 00:00:00+00,4.5895816,-74.0996213,Calle 11 sur con Carrera 24,Rafael Uribe Uribe,,
-74.1104884,4.60166970015117,5253,2025/01/20 00:00:00+00,4.6016697,-74.1104884,Calle 8 sur con Carrera 35A,Puente Aranda,Choque simple,Motocicleta (2)
-74.0394438,4.70374800015451,5254,2025/01/20 00:00:00+00,4.703748,-74.0394438,"Calle 127 con Carrera 13, sentido occ?or",Usaquén,Choque simple,Taxi (1) - Automóvil particular (1)
-74.1888319,4.6182609001517,5255,2025/01/20 00:00:00+00,4.6182609,-74.1888319,Calle 62 sur con Carrera 85B,Bosa,Choque simple,Bus / buseta (1) - Automóvil particular (1)
-74.0544004,4.65980140015305,5256,2025/01/20 00:00:00+00,4.6598014,-74.0544004,Carrera 9 con Calle 76,Chapinero,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1)
-74.09309,4.67995860015368,5257,2025/01/20 00:00:00+00,4.6799586,-74.09309,Calle 69 con Carrera 69M,Engativá,Choque simple,Automóvil particular (1) - Triciclo (1)
-74.0706701,4.7040882001545,5258,2025/01/20 00:00:00+00,4.7040882,-74.0706701,"Av Suba con Carrera 81, sentido occ?or",Suba,Varado,Automóvil particular (1)
-74.1351657,4.66027400015309,5259,2025/01/20 00:00:00+00,4.660274,-74.1351657,"Av Ciudad de Cali con Calle 55A, sentido n?s",Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0945833,4.5756254001503,5260,2025/01/20 00:00:00+00,4.5756254,-74.0945833,Av Carrera 10 con Av Primero de Mayo,Antonio Nariño,Choque simple,Bus articulado / biarticulado (1) - Taxi (1)
-74.1001764,4.68035670015373,5261,2025/01/20 00:00:00+00,4.6803567,-74.1001764,"Av Boyacá con Calle 81, sentido n?s",Engativá,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1)
