X,Y,OBJECTID,Dirección_incidente,Localidad,Tipo_de_incidente,Actores_viales_implicados,Afectación_personas,COORDENADAY,COORDENADAX
-74.0471449999999,4.71814400000005,2866,"Carrera 19 con Calle 134, sentido s→n",Usaquén,Choque simple,Taxi (1) - Bicicleta (1) ,Sin lesionados,4.718144,-74.047145
-74.141361,4.63891900000004,2867,Carrera 78 con Calle 8 bis ,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.638919,-74.141361
-74.094213,4.71029400000003,2868,"Av Ciudad de Cali con Calle 90, sentido s→n",Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.710294,-74.094213
-74.138616,4.65314600000005,2869,"Carrera 81C con Calle 13A, sentido n→s",Kennedy,Choque con objeto fijo,Automóvil particular (1) - Vivienda (1) ,Sin lesionados,4.653146,-74.138616
-74.092526,4.54955700000005,2870,Carrera 4 este con Calle 41 sur,San Cristóbal,Atropello,Taxi (1) - Peatón lesionado (1) ,Con lesionados,4.549557,-74.092526
-74.057334,4.68408700000003,2871,"Autopista Norte con Calle 95, sentido s→n",Chapinero,Choque con lesionado,Motociclista lesionado (1) - Bicicleta (1) ,Con lesionados,4.684087,-74.057334
-74.103665,4.65470500000004,2872,"Av El Dorado (Calle 26) con Av Carrera 68, sentido n→s",Engativá,Choque simple,Ambulancia (1) - Taxi (1) ,Sin lesionados,4.654705,-74.103665
-74.161216,4.61206900000008,2873,"Calle 43 sur con Carrera 78, sentido or→occ",Kennedy,Atropello,Bus SITP (1) - Peatón lesionado (1) ,Con lesionados,4.612069,-74.161216
-74.053252,4.71913800000004,2874,"Autopista Norte con Calle 134, sentido or→occ",Suba,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.719138,-74.053252
-74.1387589999999,4.55975400000005,2875,Av Boyacá con Carrera 60G ,Ciudad Bolívar,Atropello,Motocicleta (1) - Peatón lesionado (1) - Automóvil particular ,Con lesionados,4.559754,-74.138759
-74.119358,4.59707000000003,2876,Transversal 38A con Calle 30 sur,Puente Aranda,"Caída de objetos en vía (árbol, cables, otros)",Cables (1)  ,Sin lesionados,4.59707,-74.119358
-74.0590349999999,4.66317200000003,2877,Carrera 15 con Calle 76 ,Chapinero,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.663172,-74.059035
-74.152478,4.61731500000008,2878,Transversal 73D con Calle 39A sur,Kennedy,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.617315,-74.152478
-74.043241,4.74641000000003,2879,Calle 166 con Carrera 19B ,Usaquén,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.74641,-74.043241
-74.172682,4.61509700000005,2880,"Carrera 80 con Calle 53 sur, sentido n→s",Kennedy,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1) ,Con lesionados,4.615097,-74.172682
-74.1045819999999,4.69466000000006,2881,"Av Chile (Calle 72) con Carrera 83, sentido or→occ",Engativá,Atropello,Bicicleta (1) - Peatón lesionado (1) ,Con lesionados,4.69466,-74.104582
-74.0794519999999,4.60403900000006,2882,"Av Caracas con Av Jiménez (Calle 13), sentido s→n",Santa Fe,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.604039,-74.079452
-74.100338,4.57395400000007,2883,"Calle 27 sur con Carrera 11, sentido or→occ",Rafael Uribe Uribe,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1) ,Con lesionados,4.573954,-74.100338
-74.156377,4.63730800000008,2884,"Carrera 82 con Calle 1B, sentido s→n",Kennedy,Choque con lesionado,Motociclista lesionado (4)  ,Con lesionados,4.637308,-74.156377
-74.102456,4.56451100000004,2885,"Carrera 8 con Calle 35A sur, sentido s→n",San Cristóbal,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1) ,Con lesionados,4.564511,-74.102456
-74.129181,4.63239300000004,2886,"Carrera 69C con Calle 7A, sentido n→s",Kennedy,Choque con lesionado,Automóvil particular (1) - Taxi (1) - Ciclista lesionado (1),Con lesionados,4.632393,-74.129181
-74.092527,4.57358700000003,2887,"Av Primero de Mayo con Carrera 7, sentido or→occ",San Cristóbal,Choque con lesionado,Bus SITP (1) - Motociclista lesionado (1) ,Con lesionados,4.573587,-74.092527
-74.1051219999999,4.50667100000004,2888,"Av Caracas con Calle 84 sur, sentido s→n",Usme,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.506671,-74.105122
-74.076111,4.60931400000004,2889,"Av Caracas con Calle 19, sentido n→s",Los Mártires,Choque con lesionado,Motociclista lesionado (2)  ,Con lesionados,4.609314,-74.076111
-74.120987,4.72120200000006,2890,"Av Calle 80 con Carrera 114, sentido occ→or",Engativá,Choque simple,Taxi (1) - Bicicleta (1) ,Sin lesionados,4.721202,-74.120987
-74.0954419999999,4.59006500000004,2891,"Carrera 18 con Calle 6 sur, sentido s→n",Antonio Nariño,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.590065,-74.095442
-74.128079,4.61191300000007,2892,"Av Carrera 68 con Calle 21 sur, sentido s→n",Puente Aranda,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.611913,-74.128079
-74.168013,4.61333400000007,2893,"Carrera 78J con Calle 50 sur, sentido n→s",Kennedy,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1) ,Con lesionados,4.613334,-74.168013
-74.1174109999999,4.51987100000002,2894,"Av Caracas con Calle 71G sur, sentido n→s",Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.519871,-74.117411
-74.140991,4.64545300000003,2895,"Calle 10D con Carrera 79, sentido or→occ",Kennedy,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.645453,-74.140991
-74.024265,4.73017000000004,2896,"Av Carrera 7 con Calle 155 bis, sentido n→s",Usaquén,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.73017,-74.024265
-74.16349,4.59606300000007,2897,"Autopista Sur con Av Ciudad de Villavicencio, sentido or→occ",Bosa,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1) ,Con lesionados,4.596063,-74.16349
-74.12405,4.68541800000003,2898,"Av El Dorado (Calle 26) con Carrera 93, sentido occ→or",Engativá,Choque con lesionado,Motociclista lesionado (2)  ,Con lesionados,4.685418,-74.12405
-74.090953,4.66275800000005,2899,"Av José Celestino Mutis con Carrera 60, sentido occ→or",Teusaquillo,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.662758,-74.090953
-74.073067,4.64474500000006,2900,"Diagonal 54 con Carrera 24, sentido or→occ",Teusaquillo,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.644745,-74.073067
-74.070707,4.69736800000004,2901,"Av Rojas con Calle 112, sentido s→n",Suba,Atropello,Automóvil particular (1) - Peatón lesionado (1) ,Con lesionados,4.697368,-74.070707
-74.081338,4.64388500000007,2902,"Carrera 36A con Calle 53, sentido s→n",Teusaquillo,Atropello,Motocicleta (1) - Peatón lesionado (1) ,Con lesionados,4.643885,-74.081338
-74.114368,4.57937900000007,2903,"Calle 32 sur con Carrera 21, sentido or→occ",Rafael Uribe Uribe,Atropello,Automóvil particular (2) - Peatón lesionado (1) ,Con lesionados,4.579379,-74.114368
-74.0493,4.67126900000005,2904,"Carrera 11 con Calle 88, sentido n→s",Chapinero,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.671269,-74.0493
-74.06949,4.60402300000004,2905,"Calle 19 con Carrera 4, sentido occ→or",Santa Fe,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.604023,-74.06949
-74.054257,4.72709900000007,2906,"Carrera 50 con Calle 144, sentido s→n",Suba,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.727099,-74.054257
-74.076364,4.62078500000007,2907,"Av El Dorado (Calle 26) con Carrera 20A, sentido occ→or",Teusaquillo,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.620785,-74.076364
-74.0889569999999,4.61893500000002,2908,"NQS con Calle 19, sentido s→n",Puente Aranda,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.618935,-74.088957
-74.122448,4.62917200000004,2909,"Av Américas con Av Carrera 68, sentido or→occ",Kennedy,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.629172,-74.122448
-74.169324,4.59571000000005,2910,"Autopista Sur con Carrera 72, sentido or→occ",Bosa,Choque con lesionado,Camión (1) - Motociclista lesionado (1) ,Con lesionados,4.59571,-74.169324
-74.1319319999999,4.65447700000004,2911,"Av Centenario (Calle 13) con Carrera 78G, sentido occ→or",Fontibón,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.654477,-74.131932
-74.1499459999999,4.56928100000005,2912,"Calle 64 sur con Carrera 31, sentido or→occ",Ciudad Bolívar,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1) ,Con lesionados,4.569281,-74.149946
-74.091287,4.60254600000007,2913,"Carrera 21A con Calle 6, sentido s→n",Los Mártires,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.602546,-74.091287
-74.0639179999999,4.63883100000004,2914,Calle 52 con Carrera 9 ,Chapinero,Vehículo mal estacionado,Automóvil particular (2)  ,Sin lesionados,4.638831,-74.063918
-74.080911,4.62210100000004,2915,"Calle 24 con Carrera 27, sentido occ→or",Los Mártires,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.622101,-74.080911
-74.1537309999999,4.61241300000006,2916,Calle 40H sur con Carrera 73A ,Kennedy,Choque simple,Taxi (1) - Motocicleta (1) ,Sin lesionados,4.612413,-74.153731
-74.134507,4.59447200000005,2917,"Autopista Sur con Carrera 51D, sentido or→occ",Puente Aranda,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.594472,-74.134507
-74.107422,4.65103600000003,2918,"Av La Esperanza con Av Carrera 68, sentido or→occ",Fontibón,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.651036,-74.107422
