X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.1676533,4.61070700000005,1909,Calle 70 con Carrera 78,Engativá,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.610707,-74.1676533
-74.0788166999999,4.60529940000004,1910,Av Caracas con Av Boyacá,Usme,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.6052994,-74.0788167
-74.0576690999999,4.65703320000006,1911,Av Chile (Calle 72) con Carrera 28A,Chapinero,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.6570332,-74.0576691
-74.09763,4.63787900000005,1912,Carrera 50 con Av La Esperanza,Teusaquillo,Falla semafórica,Intersección semafórica (1),,2025/06/06 00:00:00+00,4.637879,-74.09763
-74.1388302999999,4.55730600000004,1913,"Carrera 18N con Calle 61A sur, sentido s→n",Ciudad Bolívar,Choque con lesionado,Volqueta (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.557306,-74.1388303
-74.0755697,4.66069970000007,1914,Calle 66 con Carrera 29,Barrios Unidos,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/06 00:00:00+00,4.6606997,-74.0755697
-74.1964543999999,4.62062750000007,1915,Carrera 87C con Calle 70A sur,Bosa,Choque simple,Camión (1) - Taxi (1),Sin lesionados,2025/06/06 00:00:00+00,4.6206275,-74.1964544
-74.1395153999999,4.66318740000003,1916,"Av Centenario (Calle 13) con Carrera 106, sentido or→occ",Fontibón,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6631874,-74.1395154
-74.0792823,4.63918680000006,1917,"Av Calle 19 con NQS, sentido or→occ",Puente Aranda,Choque con lesionado,Camioneta (1) - Automóvil particular (1) - Conductor lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6391868,-74.0792823
-74.0685314999999,4.65291880000007,1918,Carrera 19 con Calle 63C,Barrios Unidos,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.6529188,-74.0685315
-74.1008484,4.67071460000005,1919,Av José Celestino Mutis con Carrera 73 bis,Engativá,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/06/06 00:00:00+00,4.6707146,-74.1008484
-74.0584385,4.65384440000003,1920,Carrera 9 con Calle 70,Chapinero,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.6538444,-74.0584385
-74.1005031,4.58960080000003,1921,Carrera 22 con Calle 13 sur,Antonio Nariño,Choque simple,Camioneta (1) - Bus SITP (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.5896008,-74.1005031
-74.0943277,4.72037140000003,1922,Carrera 93 con Calle 127B,Suba,Choque simple,Camión (1) - Camioneta (1),Sin lesionados,2025/06/06 00:00:00+00,4.7203714,-74.0943277
-74.0433187,4.74851840000002,1923,Carrera 20 con Calle 168,Usaquén,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7485184,-74.0433187
-74.1351657,4.66027400000007,1924,Av Ciudad de Cali con Calle 16,Kennedy,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.660274,-74.1351657
-74.0720919999999,4.71098860000006,1925,Av Carrera 68 con Av Calle 80,Engativá,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,1926,"Carrera 78 con Calle 43 sur, sentido n→s",Kennedy,Choque simple,Tractocamión (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.7109886,-74.072092
-74.1457105,4.53906940000007,1927,Diagonal 77A con Carrera 18D,Ciudad Bolívar,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/06 00:00:00+00,4.5390694,-74.1457105
-74.1395934,4.57304090000002,1928,Av Boyacá con Carrera 24,Tunjuelito,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.5730409,-74.1395934
-74.0636517999999,4.67301520000007,1929,Av Circunvalar con Calle 85,Chapinero,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.6730152,-74.0636518
-74.1964543999999,4.62062750000007,1930,Carrera 87C con Calle 70A sur,Bosa,Choque con lesionado,Camión (1) - Taxi (1) - Conductor lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6206275,-74.1964544
-74.0387967999999,4.74760750000007,1931,"Calle 168 con Carrera 19, sentido occ→or",Usaquén,Choque simple,Camión (1) - Camioneta (1),Sin lesionados,2025/06/06 00:00:00+00,4.7476075,-74.0387968
-74.1084078,4.57204770000004,1932,"Calle 32 bis sur con Carrera 1A este, sentido occ→or",San Cristóbal,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.5720477,-74.1084078
